Incident_Nr,Arrest_Date,Officer,Officer_Last_Name,Officer_Badge_Id,Arrest_Nr,Age,Gender,Race,Charge
170000074022-001,10/18/2017,Slaughter,Slaughter,,C17001059560,20,Female,White,Theft < $100
170000074025-001,10/18/2017,Castillo 11293,Castillo,11293,A17000098811,23,Female,White,DRIVING WHILE INTOXICATED
170000074039-001,10/18/2017,Crook #470/11910,Crook,11910,A17000098812,31,Female,White,"Theft Prop <$2,500  2/more Prev Conv"
170000074122-001,10/19/2017,Gibson 12521,Gibson,12521,A17000098815,25,Male,Black,Public Intoxication - Other Substance
170000074126-001,10/19/2017,Castillo 11293,Castillo,11293,A17000098816,52,Male,White,CRIMINAL TRESPASS
170000074192-001,10/19/2017,10198,Harrison,10198,C17001071517,27,Male,White,
170000074262-001,10/19/2017,Tureaud #12967,Tureaud,12967,A17000098819,23,Male,White,Theft Prop >=$100<$750
170000074262-002,10/19/2017,Tureaud #12967,Tureaud,12967,A17000098818,24,Male,Black,Theft Prop >=$100<$750
170000074299-001,10/19/2017,Gibson 12521,Gibson,12521,A17000098821,24,Male,Black,POSS CS PG 2 >= 1G<4G
170000074327-001,10/20/2017,Tennant,Tennant,,C17001075071,22,Male,White,
170000074330-001,10/20/2017,12478,Duckworth,12478,C17001066086,22,Female,White,
170000074352-001,10/20/2017,Tennant 13045,Tennant,13045,A17000098822,35,Male,Black,Public Intoxication - Other Substance
170000074352-002,10/20/2017,Tennant 13045,Tennant,13045,A17000098821,35,Male,White,Duty On Striking Fixture/hwy Landscape>=
170000074353-001,10/20/2017,Contreras  12772,Contreras,12772,A17000098823,29,Male,White,POSS MARIJ <2OZ
170000074353-002,10/20/2017,Contreras 12772,Contreras,12772,A17000098824,24,Male,White,Public Intoxication - Other Substance
170000074438-001,10/20/2017,Beller,Beller,,C17001061034,54,Male,Black,Theft < $100
170000074438-002,10/20/2017,Beller,Beller,,C17001061035,41,Female,White,Theft < $100
170000074439-001,10/20/2017,Charleswell 11125,Charleswell,11125,A17000098827,21,Female,White,Theft Prop >=$100<$750
170000074461-001,10/20/2017,Beller 1128,Beller,,A17000098826,38,Male,White,
170000074528-001,10/20/2017,,,,A17000098825,28,Female,White,CRIMINAL TRESPASS
170000074570-001,10/21/2017,11898,Cormier,11898,C17001055282,24,Male,White,
170000074593-001,10/21/2017,J Cormier 11509,Cormier,11509,A17000098829,26,Female,Black,Public Intoxication - Other Substance
170000074600-001,10/21/2017,Cyrus      12833,Cyrus,12833,A17000098828,26,Male,White,Public Intoxication - Other Substance
170000074735-001,10/21/2017,,,,C17001059037,23,Male,White,
170000074743-001,10/21/2017,12741,Blackwood,12741,C17001059041,21,Male,White,Consumption Of Alcohol By A Minor 3rd-En
170000074778-001,10/21/2017,C. Cormier 11898,Cormier,11898,A17000098830,29,Female,White,ABANDON ENDANGER CHILD IMMINENT DANGER B
170000074812-001,10/22/2017,Cormier,Cormier,,C17001063039,21,Female,White,Misrep of Age by Minor
170000074836-001,10/22/2017,K. Raven 303,Raven,,A17000098833,33,Male,White,Public Intoxication - Other Substance
170000074837-001,10/22/2017,J Cormier 11509,Cormier,11509,A17000098834,25,Male,White,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRC
170000074853-001,10/22/2017,,,,C17001055288,24,Female,White,
170000074857-001,10/22/2017,C. Cormier 11898,Cormier,11898,A17000098835,25,Female,Black,POSS CS PG 1 <1G
170000074859-001,10/22/2017,L. Murphy,Murphy,,A17000098831,33,Male,White,Public Intoxication - Other Substance
170000074917-001,10/22/2017,Elrod 11796,Elrod,11796,A17000098832,33,Female,White,Public Intoxication - Other Substance
170000074924-001,10/22/2017,Allen,Allen,,C17001066093,22,Male,Black,Theft < $100
170000074944-001,10/22/2017,Allen,Allen,,C17001066094,52,Male,White,Theft < $100
170000074956-001,10/22/2017,Allen,Allen,,C17001066095,23,Male,White,Theft < $100
170000075066-001,10/23/2017,Harrison,Harrison,,C17001074523,26,Male,White,Theft < $100
170000075108-001,11/2/2017,McGee 12964,Mcgee,12964,A17000098885,66,Male,White,AGG ASSAULT CAUSES SERIOUS BODILY INJ
170000075192-001,10/23/2017,Gibson 12521,Gibson,12521,A17000098837,40,Female,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000075228-001,10/24/2017,Gibson,Gibson,,C17001076078,28,Male,White,
170000075228-002,10/24/2017,Gibson,Gibson,,C17001076079,29,Male,White,
170000075372-001,10/24/2017,Fischer,Fischer,,C17001067569,22,Male,White,Theft < $100
170000075389-001,10/24/2017,Marroquin 13093,Marroquin,13093,A17000098838,41,Male,White,RESIST ARREST SEARCH OR TRANSPORT
170000075426-001,10/24/2017,Seals 12747/480,Seals,12747,A17000098842,38,Male,Black,Fail To Id Fugitive Frm Justice Refuse T
170000075426-002,10/24/2017,,,,A17000098843,23,Male,White,HINDER APPREHENSION/PROSECUTION
170000075434-001,11/16/2017,,,,C17001054066,25,Male,White,
170000075443-001,10/25/2017,Gibson 12521,Gibson,12521,A17000098840,25,Male,Asian,POSS CS PG 1A <20AU
170000075443-002,10/25/2017,Gibson,Gibson,,C17001076089,25,Female,White,
170000075479-001,10/25/2017,Tennant 13045,Tennant,13045,A17000098841,27,Male,White,DRIVING WHILE INTOXICATED
170000075639-001,10/25/2017,Osborne 12620,Osborne,12620,A17000098844,28,Female,White,
170000075645-001,10/25/2017,Wooten 12966/473,Wooten,12966,A17000098845,36,Male,White,Terroristic Threat Of Family/household
170000075702-001,10/26/2017,,,,C17001073579,22,Male,White,
170000075707-001,10/26/2017,Gonzales 12911,Gonzales,12911,A17000098846,26,Male,White,DRIVING WHILE INTOXICATED/OPEN ALCH CONT
170000075818-002,10/26/2017,Murphy,Murphy,,C17001059577,52,Male,White,
170000075818-003,10/26/2017,Murphy,Murphy,,C17001059578,57,Male,White,
170000075818-004,10/26/2017,Murphy,Murphy,,C17001059579,44,Male,White,
170000075857-001,10/26/2017,Allen 12748,Allen,12748,A17000098847,33,Male,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000075925-001,10/27/2017,Cormier,Cormier,,C17001055291,24,Female,White,
170000075934-001,10/27/2017,T Davidson 12617/#468,Davidson,12617,A17000098851,50,Male,White,CRIMINAL TRESPASS
170000075946-001,10/27/2017,,,,C17001063041,22,Female,White,Misrep of Age by Minor
170000076076-001,10/27/2017,Slaughter 11291,Slaughter,11291,A17000098849,39,Male,White,AGG ASSAULT CAUSES SERIOUS BODILY INJ
170000076145-001,10/27/2017,Seals 12747/480,Seals,12747,A17000098850,37,Male,White,
170000076161-001,10/27/2017,Tennant,Tennant,,C17001075098,48,Male,White,
170000076183-001,10/28/2017,Tureaud #12967,Tureaud,12967,A17000098861,21,Male,White,
170000076183-002,10/28/2017,Tureaud #12967,Tureaud,12967,A17000098855,22,Male,White,
170000076203-001,10/28/2017,V. Fischer 12311,Fischer,12311,A17000098858,23,Male,White,
170000076205-001,10/28/2017,M. Alvarado #428/13100,Alvarado,13100,A17000098857,23,Male,White,DRIVING WHILE INTOXICATED
170000076213-001,10/28/2017,Seals,Seals,,C17001073056,27,Male,White,DOC - Fighting
170000076223-001,10/28/2017,Verver 11935,Verver,11935,A17000098854,21,Female,White,Public Intoxication - Other Substance
170000076223-002,10/28/2017,Verver 11935,Verver,11935,A17000098860,20,Male,White,Public Intoxication - Other Substance
170000076224-001,10/28/2017,Contreras 12772,Contreras,12772,A17000098853,24,Female,White,ASSAULT CAUSES BODILY INJURY FAMILY VIOL
170000076229-001,10/28/2017,McGee 12964,Mcgee,12964,A17000098851,25,Male,White,DRIVING WHILE INTOXICATED
170000076241-001,10/28/2017,J. Williams,Williams,,A17000098852,24,Male,White,Public Intoxication - Other Substance
170000076292-001,10/28/2017,J. Williams,Williams,,A17000098862,27,Female,Black,Theft Prop >=$100<$750
170000076302-001,10/28/2017,Fischer,Fischer,,C17001067578,57,Male,White,
170000076327-001,10/28/2017,Duckworth 12478,Duckworth,12478,A17000098859,32,Male,White,
170000076359-001,10/28/2017,M. Alvarado,Alvarado,,A17000098864,61,Male,White,DRIVING WHILE INTOXICATED 3RD OR MORE IA
170000076373-001,10/28/2017,Crook #470/11910,Crook,11910,A17000098856,42,Male,White,Driving While Intoxicated 2nd
170000076404-001,10/29/2017,,,,C17001054842,25,Male,White,
170000076416-001,10/29/2017,Seals 12747/480,Seals,12747,A17000098867,26,Female,White,Public Intoxication - Other Substance
170000076416-002,10/29/2017,Seals 12747/480,Seals,12747,A17000098868,25,Male,Black,Public Intoxication - Other Substance
170000076424-001,10/29/2017,Duckworth 12478,Duckworth,12478,A17000098865,28,Male,White,EVADING ARREST DETENTION
170000076424-002,10/29/2017,J Cormier 11509,Cormier,11509,A17000098863,31,Male,White,
170000076424-003,10/29/2017,C. Cormier 11898,Cormier,11898,A17000098870,32,Female,White,Public Intoxication - Other Substance
170000076424-004,10/29/2017,C. Cormier 11898,Cormier,11898,A17000098866,29,Male,White,Public Intoxication - Other Substance
170000076502-001,10/29/2017,Harrison 10198,Harrison,10198,A17000098871,32,Male,White,
170000076578-001,10/29/2017,Crook #470/11910,Crook,11910,A17000098872,38,Male,White,POSS CS PG 1 >=1G<4G
170000076609-001,10/30/2017,Mcgee,Mcgee,,C17001075103,26,Male,White,
170000076631-001,10/30/2017,Verver 11935,Verver,11935,A17000098873,30,Male,White,DRIVING WHILE INTOXICATED
170000076751-001,10/30/2017,Allen 12748,Allen,12748,A17000098876,24,Female,White,POSS MARIJ <2OZ
170000076770-001,10/30/2017,Wooten 12966/473,Wooten,12966,A17000098874,39,Male,White,
170000076795-001,10/30/2017,Wisener 12586,Wisener,12586,A17000098875,34,Male,White,Silent Abusive Call/electr Comm To 911 S
170000076818-001,10/31/2017,Cyrus 12833,Cyrus,12833,A17000098877,51,Female,White,POSS MARIJ <2OZ
170000076852-001,11/24/2017,Tureaud #12967,Tureaud,12967,00F17128JP11,27,Male,White,Stalking
170000076933-001,10/31/2017,Elrod 11796,Elrod,11796,A17000098880,22,Male,White,EVADING ARREST DETENTION
170000076933-002,10/31/2017,Smith 12075,Smith,12075,A17000098878,20,Male,White,Theft Prop >=$100<$750
170000076938-001,11/8/2017,Templeton 11946,Templeton,11946,A17000098933,20,Male,Black,Injury Child/elderly/disable W/int Bodil
170000076954-001,10/31/2017,Allen 12748,Allen,12748,A17000098881,19,Female,White,POSS CS PG 1 <1G
170000076956-001,10/31/2017,J Cormier 11509,Cormier,11509,A17000098879,27,Male,Black,POSS MARIJ >4OZ<=5LBS
170000077026-001,10/31/2017,Scott,Scott,,C17001059590,23,Female,White,
170000077026-002,10/31/2017,Scott,Scott,,C17001059591,23,Female,White,
170000077041-001,1/11/2018,Tennant 13045,Tennant,13045,A18000088271,20,Male,White,EVADING ARREST DETENTION
170000077050-001,11/1/2017,Scott 11908,Scott,11908,A17000098882,26,Male,White,Public Intoxication - Other Substance
170000077052-001,11/1/2017,,,,C17001055294,22,Female,White,Consumption Of Alcohol By A Minor 3rd-En
170000077076-001,11/1/2017,B. Pierce #438/12683,Pierce,12683,A17000098883,23,Female,Black,Public Intoxication - Other Substance
170000077327-001,11/2/2017,Gibson 12521,Gibson,12521,A17000098884,20,Male,White,POSS CS PG 3 < 28G
170000077444-001,11/15/2017,L. Murphy,Murphy,,00F17124JP11,39,Male,White,ASSAULT CAUSES BODILY INJURY FAMILY VIOL
170000077523-001,11/2/2017,Crook #470/11910,Crook,11910,A17000098886,38,Male,Black,
170000077539-001,11/2/2017,Marroquin 13093,Marroquin,13093,A17000098887,41,Female,White,
170000077562-001,11/3/2017,,,,C17000106304,28,Male,White,DOC - Fighting
170000077619-001,11/3/2017,,,,C17000106105,34,Male,White,Theft < $100
170000077640-001,11/3/2017,,,,C17000105959,48,Female,White,
170000077651-001,11/3/2017,Beller 11288,Beller,11288,A17000098889,22,Female,White,Theft Prop >=$100<$750
170000077652-001,11/3/2017,,,,C17001061554,33,Male,White,Theft < $100
170000077652-002,11/3/2017,,,,C17000106155,40,Male,White,Theft < $100
170000077680-001,11/3/2017,Beller 11288,Beller,11288,A17000098890,53,Male,White,Theft Prop >=$100<$750
170000077748-001,11/3/2017,Putnam 12768,Putnam,12768,A17000098891,26,Male,Black,
170000077770-001,11/3/2017,Wooten 12966/473,Wooten,12966,A17000098893,43,Male,White,DRIVING WHILE INTOXICATED
170000077777-001,11/3/2017,Blackwood #12741,Blackwood,12741,A17000098892,26,Male,White,POSS CS PG 2 < 1G
170000077820-001,11/4/2017,T Davidson 12617/#468,Davidson,12617,A17000098894,23,Male,Black,
170000077820-002,11/4/2017,Putnam 12768,Putnam,12768,A17000077820,22,Male,Black,POSS CS PG 3 < 28G
170000077826-001,11/4/2017,B. Pierce #438/12683,Pierce,12683,A17000098896,27,Male,White,POSS CS PG 2 >= 4G<400G
170000077839-001,11/4/2017,Royal-12585,Royal,12585,A17000098897,40,Male,White,
170000077845-001,11/4/2017,Gonzales 12911,Gonzales,12911,A17000098898,24,Female,White,
170000077848-001,11/4/2017,T Davidson 12617/#468,Davidson,12617,A17000098899,28,Male,White,Public Intoxication - Other Substance
170000077892-001,11/4/2017,Easterly 463/12079,Easterly,12079,A17000098900,34,Male,White,
170000077914-001,11/4/2017,Charleswell 11125,Charleswell,11125,A17000098901,33,Female,White,
170000077975-001,11/4/2017,Wisener 12586,Wisener,12586,A17000098902,26,Male,White,Public Intoxication - Other Substance
170000077987-001,11/4/2017,Royal-12585,Royal,12585,A17000098903,25,Male,White,Reckless Driving
170000078008-001,11/4/2017,Murphy     13196,Murphy,13196,A17000098913,37,Female,White,Public Intoxication - Other Substance
170000078008-002,11/4/2017,,,,C17001054059,54,Male,Black,Public Intoxication - Other Substance
170000078025-001,11/5/2017,Putnam 12768,Putnam,12768,A17000098904,24,Female,White,Public Intoxication - Other Substance
170000078028-001,11/5/2017,,,,C17000106612,21,Female,White,
170000078038-001,11/5/2017,Gonzales,Gonzales,,A17000098905,25,Male,White,Public Intoxication - Other Substance
170000078047-001,11/5/2017,Wisener 12586,Wisener,12586,A17000098906,27,Male,White,AGG ASSAULT CAUSES SERIOUS BODILY INJ
170000078057-001,11/5/2017,Putnam 12768,Putnam,12768,A17000098907,25,Female,White,Public Intoxication - Other Substance
170000078076-001,11/5/2017,T Davidson 12617#468,Davidson,12617,A17000098908,26,Male,Black,Public Intoxication - Other Substance
170000078085-001,11/5/2017,J. Williams,Williams,,A17000098909,26,Male,White,Public Intoxication - Other Substance
170000078086-001,11/5/2017,H Salinas 462,Salinas,,A17000098910,26,Male,White,BURGLARY OF VEHICLE
170000078212-001,11/5/2017,Blackwood #12741,Blackwood,12741,A17000098911,38,Male,White,POSS MARIJ >4OZ<=5LBS
170000078236-001,11/6/2017,,,,C17000106759,21,Male,White,
170000078245-001,11/6/2017,L .Murphy,Murphy,,A17000098912,30,Male,Black,POSS CS PG 1 <1G
170000078272-001,11/6/2017,Harrison 10198,Harrison,10198,A17000998914,25,Male,White,
170000078329-001,11/6/2017,,,,C17000105564,23,Male,White,Theft < $100
170000078459-001,11/7/2017,Castillo 11293,Castillo,11293,A17000098915,39,Female,White,CRIMINAL TRESPASS
170000078466-001,11/7/2017,Duggins 11290,Duggins,11290,A17000098916,19,Male,White,Reckless Driving
170000078514-001,11/7/2017,Copeland,Copeland,,A17000098917,20,Male,White,
170000078519-001,11/7/2017,,,,C17001059605,49,Male,White,
170000078535-001,11/7/2017,Castillo 11969,Castillo,11969,A17000098918,19,Male,Black,
170000078560-001,11/7/2017,Duckworth 12478,Duckworth,12478,A17000098919,37,Male,Black,"Organized Retail Theft >=$750<$2,500"
170000078560-002,11/7/2017,Duckworth 12478,Duckworth,12478,A17000098922,30,Female,Black,"Theft Prop <$2,500  2/more Prev Conv"
170000078560-003,11/7/2017,Duckworth 12478,Duckworth,12478,A17000098920,30,Female,Black,"Organized Retail Theft >=$750<$2,500"
170000078560-004,11/7/2017,Duckworth 12478,Duckworth,12478,A17000098921,28,Female,Black,"Organized Retail Theft >=$750<$2,500"
170000078571-001,11/7/2017,Osborne 12620,Osborne,12620,A17000098923,52,Male,White,
170000078580-001,11/7/2017,M. Alvarado,Alvarado,,A17000098924,58,Male,White,
170000078613-001,11/7/2017,Contreras 12772,Contreras,12772,A17000098925,22,Male,White,
170000078625-001,11/7/2017,Osborne 12620,Osborne,12620,A17000098927,21,Female,White,Disorderly Conduct Discharge/display Fir
170000078625-002,11/7/2017,Osborne 12620,Osborne,12620,A17000098928,22,Male,White,Disorderly Conduct Discharge/display Fir
170000078625-003,11/7/2017,Osborne 12620,Osborne,12620,A17000098926,23,Male,White,Disorderly Conduct Discharge/display Fir
170000078625-004,11/7/2017,,,,C17001067135,21,Male,White,
170000078631-001,11/8/2017,,,,C17000010540,30,Female,White,Theft < $100
170000078654-001,11/8/2017,J. Cormier 11509,Cormier,11509,A17000098929,26,Male,Black,MAN DEL CS PG 1 >=4G<200G
170000078658-001,11/8/2017,Duckworth 12478,Duckworth,12478,A17000098930,24,Female,Black,DOC - Fighting
170000078658-002,11/8/2017,Cpl. T. Saavedra #10467,Saavedra,10467,A17000098931,25,Female,Black,DOC - Fighting
170000078672-001,11/8/2017,Contreras 12772,Contreras,12772,A17000098932,43,Female,White,Public Intoxication - Other Substance
170000078738-001,11/8/2017,,,,C17000107151,38,Male,Black,Theft < $100
170000078789-001,11/8/2017,J. Williams,Williams,,A17000098934,26,Male,White,DRIVING W/LIC INV W/PREV CONV/SUSP/W/O F
170000078802-001,11/8/2017,C. Cormier 11898,Cormier,11898,A17000098935,25,Male,White,BURGLARY OF VEHICLE
170000078811-001,11/8/2017,L Cyrus 12833,Cyrus,12833,A17000098936,31,Female,White,
170000078819-001,11/8/2017,Osborne 12620,Osborne,12620,A17000098937,30,Male,White,
170000078827-001,11/9/2017,J Cormier 11509,Cormier,11509,A17000098938,23,Male,White,DRIVING WHILE INTOXICATED
170000078861-001,11/9/2017,Royal-12585,Royal,12585,A17000098941,27,Female,White,
170000078861-002,11/9/2017,L. Murphy,Murphy,,A17000098939,27,Female,White,AGG ROBBERY
170000078861-003,11/9/2017,L. Murphy,Murphy,,A17000098940,25,Female,White,AGG ROBBERY
170000078923-001,11/9/2017,Smith 12075,Smith,12075,A17000098942,47,Male,White,
170000078941-001,11/9/2017,Charleswell 11125,Charleswell,11125,A17000098943,26,Male,White,Criminal Mischief >=$100<$750
170000078985-001,11/9/2017,B. Pierce #438/12683,Pierce,12683,A17000098944,24,Male,Black,
170000079052-001,11/10/2017,Cyrus   12833,Cyrus,12833,A17000098945,21,Female,White,
170000079058-001,11/10/2017,J Cormier 11509,Cormier,11509,A17000098947,22,Female,White,POSS CS PG 1 <1G
170000079058-002,11/10/2017,J Cormier 11509,Cormier,11509,A17000098946,24,Male,White,POSS CS PG 2 < 1G
170000079075-001,11/10/2017,C. Cormier 11898,Cormier,11898,A17000098948,24,Female,White,ASSAULT CAUSES BODILY INJURY FAMILY VIOL
170000079078-001,11/10/2017,Wisener 12586,Wisener,12586,A17000098949,21,Male,White,Public Intoxication - Other Substance
170000079080-001,11/10/2017,J. Williams,Williams,,A17000098950,24,Male,White,DRIVING WHILE INTOXICATED
170000079090-001,11/10/2017,C. Cormier 11898,Cormier,11898,A17000098951,21,Male,White,Public Intoxication - Other Substance
170000079100-001,11/10/2017,Castillo 11293,Castillo,11293,A17000098952,39,Male,Black,AGG ASSAULT W/DEADLY WEAPON
170000079141-001,11/10/2017,Daenzer 12121,Daenzer,12121,A17000098953,34,Male,Black,
170000079144-001,11/10/2017,Myers 10260,Myers,10260,A17000098954,27,Male,Black,TERRORISTIC THREAT
170000079206-001,11/10/2017,,,,C17001055648,22,Male,White,
170000079207-001,11/10/2017,M. Alvarado,Alvarado,,A17000098955,51,Male,Black,"Theft Prop <$2,500  2/more Prev Conv"
170000079217-001,11/10/2017,,,,C17000106614,21,Female,White,
170000079231-001,11/10/2017,D. Duckworth,Duckworth,,C17001072612,21,Male,Black,Assault Physical Contact
170000079258-001,11/10/2017,M. Alvarado,Alvarado,,A17000098956,34,Male,White,Public Intoxication - Other Substance
170000079265-001,11/11/2017,,,,C17000176118,22,Male,Black,
170000079265-002,11/11/2017,,,,C17000107612,22,Male,Black,
170000079265-003,11/11/2017,,,,C17001076121,21,Male,Black,
170000079265-004,11/11/2017,,,,C17001076119,22,Male,Black,
170000079266-001,11/11/2017,Cyrus    12833,Cyrus,12833,A17000098957,24,Male,White,POSS CS PG 1 <1G
170000079271-001,11/11/2017,Crook #470/11910,Crook,11910,A17000098958,33,Male,Black,POSS MARIJ <2OZ
170000079292-001,11/11/2017,Gibson 12521,Gibson,12521,A17000098959,25,Male,White,Public Intoxication - Other Substance
170000079297-001,11/11/2017,,,,C17001063583,23,Male,White,
170000079301-001,11/11/2017,Crook #470/11910,Crook,11910,A17000098960,45,Male,White,DRIVING WHILE INTOXICATED/OPEN ALCH CONT
170000079302-001,11/11/2017,,,,C17000106358,25,Male,White,
170000079303-001,11/11/2017,Tennant 13045,Tennant,13045,A17000098962,23,Male,White,Driving Under Influence -Minor
170000079303-002,11/11/2017,Tennant 13045,Tennant,13045,A17000098961,22,Female,White,
170000079304-001,11/11/2017,Gibson 12521,Gibson,12521,A17000098963,26,Female,White,Public Intoxication - Other Substance
170000079310-001,11/11/2017,Contreras 12772,Contreras,12772,A17000098965,21,Female,White,Public Intoxication - Other Substance
170000079410-001,11/11/2017,Osborne 12620,Osborne,12620,A17000098966,25,Male,White,Criminal Mischief >=$100<$750
170000079421-001,11/11/2017,Duckworth 12478,Duckworth,12478,A17000098967,39,Male,White,DRIVING WHILE INTOXICATED
170000079431-001,11/11/2017,V. Fischer 12311,Fischer,12311,A17000098968,37,Male,White,
170000079459-001,11/11/2017,Tennant 13045,Tennant,13045,A17000098969,28,Male,White,Driving While Intoxicated 2nd
170000079474-001,11/11/2017,,,,C17001063586,22,Male,Black,
170000079522-001,11/12/2017,Contreras 12772,Contreras,12772,A17000098970,29,Male,White,DRIVING WHILE INTOXICATED
170000079553-001,11/12/2017,Sembera 11295,Sembera,11295,A17000098971,28,Female,White,"Theft Prop >=$2,500<$30k"
170000079553-002,11/12/2017,Sembera 11295,Sembera,11295,A17000098972,33,Male,White,"Theft Prop >=$2,500<$30k"
170000079601-001,11/12/2017,,,,C17001072612,57,Male,White,Assault Physical Contact
170000079644-001,11/12/2017,Crook #470/11910,Crook,11910,A17000098973,38,Female,White,Assault - Threaten
170000079652-001,11/12/2017,M. Alvarado,Alvarado,,A17000098974,50,Male,White,Public Intoxication - Other Substance
170000079656-001,11/12/2017,Contreras 12772,Contreras,12772,A17000098975,42,Female,White,Public Intoxication - Other Substance
170000079677-001,11/12/2017,B. Pierce #438/12683,Pierce,12683,A17000098976,23,Male,White,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRC
170000079697-001,11/12/2017,,,,C17001060031,22,Male,White,
170000079697-002,11/12/2017,,,,C17001060030,21,Male,White,
170000079723-001,11/13/2017,Scott 11908,Scott,11908,A17000098978,33,Male,White,POSS CS PG 1 >=4G<200G
170000079723-002,11/13/2017,Scott 11908,Scott,11908,A17000098979,32,Male,White,POSS CS PG 1 >=4G<200G
170000079814-001,11/13/2017,Smith 12075,Smith,12075,A17000098977,44,Male,White,CRIMINAL TRESPASS
170000079840-001,11/13/2017,,,,C17001054833,44,Female,White,
170000079840-002,11/13/2017,,,,C17001054834,48,Male,White,
170000079864-001,11/13/2017,Wisener,Wisener,,A17000098980,23,Female,Black,
170000079876-001,11/13/2017,Putnam 12768,Putnam,12768,A17000098981,21,Male,Black,
170000079896-001,11/14/2017,Putnam 12768,Putnam,12768,A17000098984,23,Female,Black,POSS CS PG 1 <1G
170000079896-002,11/14/2017,HCNTF,,,A17000098986,25,Male,White,POSS CS PG 2 < 1G
170000079905-001,11/14/2017,V. Fischer 12311,Fischer,12311,A17000098982,54,Male,Black,POSS CS PG 1 <1G
170000079905-002,11/14/2017,V. Fischer 12311,Fischer,12311,A17000098983,49,Female,White,POSS CS PG 1 <1G
170000079906-001,11/14/2017,,,,C17001073607,24,Male,Black,
170000079906-002,11/14/2017,,,,C17001073606,23,Female,White,
170000079926-001,11/14/2017,Cyrus     12833,Cyrus,12833,A17000098985,48,Female,White,
170000080089-001,11/14/2017,WOOTEN 12966/473,Wooten,12966,A17000098987,45,Male,White,DOC - Language
170000080123-001,11/14/2017,Wisener 12586,Wisener,12586,A17000098988,41,Male,White,CRIMINAL TRESPASS
170000080135-001,11/15/2017,L. Murphy,Murphy,,A17000098989,39,Male,White,POSS CS PG 1 <1G
170000080155-001,11/15/2017,Tennant 13045,Tennant,13045,A17000098990,23,Male,White,Public Intoxication - Other Substance
170000080162-001,11/15/2017,Tennant 13045,Tennant,13045,A17000098991,24,Male,Black,
170000080192-001,11/15/2017,Slaughter 11291,Slaughter,11291,A17000098992,30,Male,White,CRIMINAL TRESPASS
170000080301-001,11/15/2017,Wisener 12586,Wisener,12586,A17000098993,44,Male,White,CRIMINAL TRESPASS
170000080302-001,11/15/2017,Marroquin 13093,Marroquin,13093,A17000098994,33,Female,White,Assault - Threaten
170000080353-001,11/15/2017,Gibson 12521,Gibson,12521,A17000098995,37,Male,White,DRIVING WHILE INTOXICATED 3RD OR MORE
170000080359-001,11/15/2017,,,,C17001066151,20,Male,White,
170000080359-002,11/15/2017,,,,C17001066152,22,Female,White,
170000080363-001,11/15/2017,,,,C17001066154,22,Female,White,
170000080363-002,11/15/2017,,,,C17001066153,22,Female,White,
170000080371-001,11/16/2017,,,,C17001055315,23,Male,White,
170000080377-001,11/16/2017,,,,C17001066155,22,Male,White,
170000080389-001,11/16/2017,Osborne 12620,Osborne,12620,A17000098996,29,Male,White,POSS CS PG 2-A <= 2OZ
170000080390-001,11/16/2017,,,,C17001066157,20,Female,White,
170000080390-002,11/16/2017,,,,C17001066158,21,Female,White,
170000080390-003,11/16/2017,,,,C17001066159,21,Female,White,
170000080390-004,11/16/2017,,,,C17001066156,21,Female,White,
170000080407-001,11/16/2017,,,,C17000080407,30,Male,White,
170000080412-001,11/16/2017,Contreras 12772,Contreras,12772,A17000098997,23,Male,Black,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRC
170000080551-001,11/16/2017,Crook #470/11910,Crook,11910,A17000098998,44,Male,White,POSS CS PG 1 <1G
170000080577-001,11/16/2017,T. Saavedra 310467,Saavedra,,A17000098999,26,Male,White,EVADING ARREST DET W/VEH
170000080583-001,11/16/2017,Wooten 12966/473,Wooten,12966,A17000099000,22,Female,White,DRIVING WHILE INTOXICATED
170000080593-001,11/16/2017,,,,C17001052793,25,Male,White,
170000080619-001,11/17/2017,M. Alvarado,Alvarado,,A17000099001,47,Male,White,POSS MARIJ <2OZ
170000080619-002,11/17/2017,,,,C17001067617,51,Female,White,
170000080623-001,11/17/2017,,,,C17001075131,23,Female,White,Consumption Of Alcohol By A Minor 3rd-En
170000080623-002,11/17/2017,,,,C17001055318,23,Male,White,
170000080638-001,11/17/2017,Contreras 12772,Contreras,12772,A17000099002,23,Male,White,Public Intoxication - Other Substance
170000080645-001,11/17/2017,Wooten 12966/473,Wooten,12966,A17000099003,25,Male,White,Public Intoxication - Other Substance
170000080647-001,11/17/2017,T. Saavedra  #10467,Saavedra,10467,A17000099004,29,Male,White,Public Intoxication - Other Substance
170000080648-001,11/17/2017,Tennant 13045,Tennant,13045,A17000099006,21,Male,White,POSS CS PG 3 < 28G
170000080648-002,11/17/2017,Tennant 13045,Tennant,13045,A17000099005,21,Male,White,POSS CS PG 3 < 28G
170000080675-001,11/17/2017,Scott 11908,Scott,11908,A17000099007,39,Male,White,
170000080713-001,11/17/2017,,,,C17001061566,21,Female,White,Theft < $100
170000080713-002,11/17/2017,,,,C17001061567,21,Male,White,Theft < $100
